image,prompt
sucrose.png,"Sucrose, a 4-star Anemo Catalyst from Genshin Impact. An alchemist filled with curiosity about all things. She researches bio-alchemy."
chevreuse.png,"Chevreuse, a 4-star Pyro Polearm from Genshin Impact. The captain of the Special Security and Surveillance Patrol, who wears justice as an ever-present seal upon her heart. Her musket shall only ever point at the guilty."
kachina.png,"Kachina, a 4-star Geo Polearm from Genshin Impact. Bearing the Ancient Name of ""Uthabiti"", Kachina is a young warrior belonging to the Children of Echoes who is determined to become strong in spite of the numerous failures she has experienced."
sethos.png,"Sethos, a 4-star Electro Bow from Genshin Impact. The Temple of Silence's heir. Burdened with secrets, he comes from the sands."
aloy.png,"Aloy, a 5-star Cryo Bow from Genshin Impact. "
yoimiya.png,"Yoimiya, a 5-star Pyro Bow from Genshin Impact. Owner of Naganohara Fireworks. Known as the ""Queen of the Summer Festival,"" she excels in her craft of creating fireworks that symbolize people's hopes and dreams."
xianyun.png,"Xianyun, a 5-star Anemo Catalyst from Genshin Impact. One of the Mighty and Illuminated Adepti of Jueyun, known as ""Cloud Retainer."" Expert in all kinds of mechanical contraptions, her heart now turns towards the affairs of the mortal world, through which she walks under the name ""Xianyun."""
xiao.png,"Xiao, a 5-star Anemo Polearm from Genshin Impact. A yaksha adeptus that defends Liyue. Also heralded as the ""Conqueror of Demons"" and ""Vigilant Yaksha."""
razor.png,"Razor, a 4-star Electro Claymore from Genshin Impact. A boy who lives among the wolves in Wolvendom of Mondstadt, away from human civilization. As agile as lightning."
thoma.png,"Thoma, a 4-star Pyro Polearm from Genshin Impact. The housekeeper of the Yashiro Commission's Kamisato Clan, and a well-known ""fixer"" in Inazuma.
Friendly and approachable, Thoma fits in with the crowd easily wherever he is.
At first glance, he seems to be a very easygoing person, but he is in fact very responsible. He has an extraordinarily serious side, be it in his work or his interpersonal communications."
gaming.png,"Gaming, a 4-star Pyro Claymore from Genshin Impact. Guard of the Sword and Strongbox Secure Transport Agency, and the head of the ""Mighty Mythical Beasts"" Wushou troupe."
emilie.png,"Emilie, a 5-star Dendro Polearm from Genshin Impact. A Fontainian perfumer, one who bottles secrets."
diona.png,"Diona, a 4-star Cryo Bow from Genshin Impact. A young lady who has inherited trace amounts of non-human blood. She is the incredibly popular bartender of the Cat's Tail tavern."
fischl.png,"Fischl, a 4-star Electro Bow from Genshin Impact. A mysterious girl who calls herself ""Prinzessin der Verurteilung"" and travels with a night raven named Oz."
sara.png,"Kujou Sara, a 4-star Electro Bow from Genshin Impact. A general of the Tenryou Commission. Bold, decisive, and skilled in battle."
keqing.png,"Keqing, a 5-star Electro Sword from Genshin Impact. The Yuheng of the Liyue Qixing. Has much to say about Rex Lapis' unilateral approach to policymaking in Liyue - but in truth, gods admire skeptics such as her quite a lot."
yun-jin.png,"Yun Jin, a 4-star Geo Polearm from Genshin Impact. A renowned Liyue opera singer who is skilled in both playwriting and singing. Her style is one-of-a-kind, exquisite and delicate, much like the person herself."
ayaka.png,"Kamisato Ayaka, a 5-star Cryo Sword from Genshin Impact. Daughter of the Yashiro Commission's Kamisato Clan. Dignified and elegant, as well as wise and strong."
wriothesley.png,"Wriothesley, a 5-star Cryo Catalyst from Genshin Impact. Duke of the Fortress of Meropide, Lord Incognito of the murky depths."
shenhe.png,"Shenhe, a 5-star Cryo Polearm from Genshin Impact. An adepti disciple with a most unusual air about her. Having spent much time cultivating in isolation in Liyue's mountains, she has become every bit as cool and distant as the adepti themselves."
barbara.png,"Barbara, a 4-star Hydro Catalyst from Genshin Impact. Every denizen of Mondstadt adores Barbara. However, she learned the word ""idol"" from a magazine."
beidou.png,"Beidou, a 4-star Electro Claymore from Genshin Impact. Captain of her crew, The Crux. She's quite an unbound and forthright woman."
ningguang.png,"Ningguang, a 4-star Geo Catalyst from Genshin Impact. The Tianquan of Liyue Qixing. Her wealth is unsurpassed in all of Teyvat."
rosaria.png,"Rosaria, a 4-star Cryo Polearm from Genshin Impact. A sister of the church, though you wouldn't know it if it weren't for her attire. Known for her sharp, cold words and manner, she often works alone."
dori.png,"Dori, a 4-star Electro Claymore from Genshin Impact. An elusive merchant who has a fondness for glittering Mora."
neuvillette.png,"Neuvillette, a 5-star Hydro Catalyst from Genshin Impact. The Chief Justice of Fontaine, known as the Iudex, is renowned for his unassailable impartiality."
klee.png,"Klee, a 5-star Pyro Catalyst from Genshin Impact. An explosives expert and a regular at the Knights of Favonius' confinement room. Also known as Fleeing Sunlight."
sigewinne.png,"Sigewinne, a 5-star Hydro Bow from Genshin Impact. A Melusine and the Fortress of Meropide's head nurse. She cares equally for every convict locked in the undersea prison."
kinich.png,"Kinich, a 5-star Dendro Claymore from Genshin Impact. He is the representative of the Scions of the Canopy and is accompanied by the self-proclaimed ""Almighty Dragonlord"" K'uhul Ajaw."
albedo.png,"Albedo, a 5-star Geo Sword from Genshin Impact. A genius known as the Kreideprinz, he is the Chief Alchemist and Captain of the Investigation Team of the Knights of Favonius."
xinyan.png,"Xinyan, a 4-star Pyro Claymore from Genshin Impact. Liyue's sole rock 'n' roll musician. She rebels against ossified prejudices using her music and passionate singing."
arataki-itto.png,"Arataki Itto, a 5-star Geo Claymore from Genshin Impact. The first and greatest head of the Arataki Gang, famed throughout Inazuma City's Hanamizaka... Wait, what? You've never heard of them? Are you trying to be funny here?"
eula.png,"Eula, a 5-star Cryo Claymore from Genshin Impact. The Spindrift Knight, a scion of the old aristocracy, and the Captain of the Knights of Favonius Reconnaissance Company. The reason for which a descendant of the ancient nobles might join the Knights remains a great mystery in Mondstadt to this very day."
nilou.png,"Nilou, a 5-star Hydro Sword from Genshin Impact. The star of the Zubayr Theater. She is full of warmth and innocence, and her dances are lively and elegant."
chongyun.png,"Chongyun, a 4-star Cryo Claymore from Genshin Impact. A young exorcist from a family of exorcists. He does everything he can to suppress his abundance of yang energy."
dehya.png,"Dehya, a 5-star Pyro Claymore from Genshin Impact. A member of the Eremites, a mercenary organization that roams the sands of Sumeru. Valiant and powerful, she enjoys great fame amongst her fellow Eremites."
collei.png,"Collei, a 4-star Dendro Bow from Genshin Impact. Oh, you're going to Sumeru? Can you give my regards to Collei? Well... it's been so long, I wonder if her hair has grown out and if she's taller?
— Amber"
bennett.png,"Bennett, a 4-star Pyro Sword from Genshin Impact. A righteous and good-natured adventurer from Mondstadt who's unfortunately extremely unlucky."
qiqi.png,"Qiqi, a 5-star Cryo Sword from Genshin Impact. An apprentice and herb gatherer at Bubu Pharmacy. An undead with a bone-white complexion, she seldom has much in the way of words or emotion."
kaveh.png,"Kaveh, a 4-star Dendro Claymore from Genshin Impact. A renowned architect from Sumeru who perhaps cares a bit too much about too many things. He is an aesthete troubled by reality."
noelle.png,"Noelle, a 4-star Geo Claymore from Genshin Impact. A maid who faithfully serves the Knights of Favonius that dreams of joining their ranks someday."
ayato.png,"Kamisato Ayato, a 5-star Hydro Sword from Genshin Impact. The young but highly accomplished head of the Yashiro Commisson's Kamisato Clan. Cultured and polite, he is a man of many ways and means."
xingqiu.png,"Xingqiu, a 4-star Hydro Sword from Genshin Impact. A young man carrying a longsword who is frequently seen at book booths. He has a chivalrous heart and yearns for justice and fairness for all."
